judet,nume
ARAD,HODIS
ARAD,HONTISOR
ARAD,HORIA
ARAD,HUNEDOARA TIMISANA
ARAD,IACOBINI
ARAD,IERCOSENI
ARAD,IERMATA
ARAD,IERMATA NEAGRA
ARAD,IGNESTI
ARAD,ILTEU
ARAD,IONESTI
ARAD,IOSAS
ARAD,IRATOSU
ARAD,JOIA MARE
ARAD,JULITA
ARAD,LABASINT
ARAD,LALASINT
ARAD,LAZURI
ARAD,LEASA
ARAD,LESTIOARA
ARAD,LIPOVA
ARAD,LIVADA
ARAD,LUGUZAU
ARAD,LUNCSOARA
ARAD,LUPESTI
ARAD,MACEA
ARAD,MADERAT
ARAD,MADRIGESTI
ARAD,MAGULICEA
ARAD,MAILAT
ARAD,MANASTUR
ARAD,MARAUS
ARAD,MERMESTI
ARAD,MILOVA
ARAD,MINDRULOC
ARAD,MINEAD
ARAD,MINERAU
ARAD,MINIS
ARAD,MINISEL
ARAD,MINISU DE SUS
ARAD,MISCA
ARAD,MOCREA
ARAD,MONEASA
ARAD,MONOROSTIA
ARAD,MORODA
ARAD,MOTIORI
ARAD,MUNAR
ARAD,MUSTESTI
ARAD,NADAB
ARAD,NADALBESTI
ARAD,NADAS
ARAD,NADLAC
ARAD,NERMIS
ARAD,NEUDORF
ARAD,NICOLAE BALCESCU
ARAD,OBIRSIA
ARAD,ODVOS
ARAD,OLARI
ARAD,PAIUSENI
ARAD,PATARS
ARAD,PAULIAN
ARAD,PAULIS
ARAD,PECICA
ARAD,PEREGU MARE
ARAD,PEREGU MIC
ARAD,PESCARI
ARAD,PETRIS
ARAD,PINCOTA
ARAD,PIRNESTI
ARAD,PLESCUTA
ARAD,POIENARI
ARAD,PRUNISOR
ARAD,RADESTI
ARAD,RADNA
ARAD,RANUSA
ARAD,RAPSIG
ARAD,REVETIS
ARAD,ROGOZ DE BELIU
ARAD,ROSIA
ARAD,ROSIA NOUA
ARAD,ROSTOCI
ARAD,SALAJENI
ARAD,SANTANA
ARAD,SATU MARE
ARAD,SATU MIC
ARAD,SATU NOU
ARAD,SAVIRSIN
ARAD,SEBIS
ARAD,SECACI
ARAD,SECAS
ARAD,SECUSIGIU
ARAD,SEDERHAT
ARAD,SEITIN
ARAD,SELEUS
ARAD,SELISTE
ARAD,SELISTEA
ARAD,SEMLAC
ARAD,SEPREUS
ARAD,SICLAU
ARAD,SICULA
ARAD,SILINDIA
ARAD,SIMAND
ARAD,SIMBATENI
ARAD,SINLEANI
ARAD,SINMARTIN
ARAD,SINPAUL
ARAD,SINPETRU GERMAN
ARAD,SINTEA MARE
ARAD,SINTEA MICA
ARAD,SIRBI
ARAD,SIRIA
ARAD,SISTAROVAT
ARAD,SLATINA DE CRIS
ARAD,SLATINA DE MURES
ARAD,SOCODOR
ARAD,SOFRONEA
ARAD,SOIMOS
ARAD,SOMOSCHES
ARAD,STEJAR
ARAD,STOINESTI
ARAD,SUSAG
ARAD,SUSANI
ARAD,TAGADAU
ARAD,TALAGIU
ARAD,TALMACI
ARAD,TARMURE
ARAD,TEMESESTI
ARAD,TIPAR
ARAD,TIRNAVITA
ARAD,TIRNOVA
ARAD,TISA NOUA
ARAD,TOHESTI
ARAD,TROAS
ARAD,TURNU
ARAD,URVISU DE BELIU
ARAD,USUSAU
ARAD,VALEA MARE
ARAD,VARADIA DE MURES
ARAD,VARIASU MARE
ARAD,VARIASU MIC
ARAD,VARNITA
ARAD,VARSAND
ARAD,VASILE GOLDIS
ARAD,VASOAIA
ARAD,VIDRA
ARAD,VINATORI
ARAD,VINGA
ARAD,VIRFURILE
ARAD,VIRISMORT
ARAD,VLADIMIRESCU
ARAD,VOIVODENI
ARAD,ZABALT
ARAD,ZABRANI
ARAD,ZADARENI
ARAD,ZARAND
ARAD,ZERIND
ARAD,ZERINDU MIC
ARAD,ZIMANDCUZ
ARAD,ZIMANDU NOU
ARAD,ZIMBRU
ARGES,ADUNATI
ARGES,AFRIMESTI
ARGES,ALBESTI
ARGES,ALBESTII PAMINTENI
ARGES,ALBESTII UNGURENI
ARGES,ALBOTA
ARGES,ALBOTELE
ARGES,ALUNIS
ARGES,ALUNISU
ARGES,ANGHINESTI
ARGES,ANINOASA
ARGES,AREFU
ARGES,ARGESANI
ARGES,ARGESELU
ARGES,BABANA
ARGES,BABAROAGA
ARGES,BACESTI
ARGES,BADENI
ARGES,BADESTI
ARGES,BADICEA
ARGES,BADILA
ARGES,BADISLAVA
ARGES,BADULESTI
ARGES,BAICULESTI
ARGES,BAILA
ARGES,BAJANESTI
ARGES,BAJESTI
ARGES,BALABANI
ARGES,BALILESTI
ARGES,BALOTEASCA
ARGES,BALTATA
ARGES,BALTENI
ARGES,BANARESTI
ARGES,BANICESTI
ARGES,BARANESTI
ARGES,BARASTI
ARGES,BARBALANI
ARGES,BARBALATESTI
ARGES,BARBATESTI
ARGES,BARZESTI
ARGES,BASCOV
ARGES,BASCOVELE
ARGES,BATRINI
ARGES,BECULESTI
ARGES,BELETI
ARGES,BEREVOESTI
ARGES,BERINDESTI
ARGES,BILCESTI
ARGES,BINTAU
ARGES,BIRLA
ARGES,BIRLOGU
ARGES,BIRLOI
ARGES,BIRSESTII DE JOS
ARGES,BIRSESTII DE SUS
ARGES,BLAJU
ARGES,BLEJANI
ARGES,BOGATI
ARGES,BOLCULESTI
ARGES,BOLOVANESTI
ARGES,BORDEIENI
ARGES,BORLESTI
ARGES,BOROBANESTI
ARGES,BOROVINESTI
ARGES,BOTENI
ARGES,BOTESTI
ARGES,BOTIRCANI
ARGES,BRABETI
ARGES,BRADETU
ARGES,BRADU
ARGES,BRADULET
ARGES,BRAILENI
ARGES,BRANISTEA
ARGES,BRATEASCA
ARGES,BRATESTI
ARGES,BRATIA
ARGES,BRINZARI
ARGES,BROSTENI
